ADM3_PCODE,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN
RW1101,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Gitega,RW1101,
RW1102,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kanyinya,RW1102,
RW1103,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kigali,RW1103,
RW1104,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Kimisagara,RW1104,
RW1105,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Mageregere,RW1105,Mageragere
RW1106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Muhima,RW1106,
RW1107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyakabanda,RW1107,
RW1108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyamirambo,RW1108,
RW1109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Nyarugenge,RW1109,
RW1110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Nyarugenge,RW11,Rwezamenyo,RW1110,
RW1201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Bumbogo,RW1201,
RW1202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gatsata,RW1202,
RW1203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gikomero,RW1203,
RW1204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Gisozi,RW1204,
RW1205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Jabana,RW1205,
RW1206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Jali,RW1206,
RW1207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kacyiru,RW1207,
RW1208,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kimihurura,RW1208,
RW1209,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kimironko,RW1209,
RW1210,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Kinyinya,RW1210,
RW1211,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Ndera,RW1211,
RW1212,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Nduba,RW1212,
RW1213,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Remera,RW1213,
RW1214,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Rusororo,RW1214,
RW1215,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Gasabo,RW12,Rutunga,RW1215,
RW1301,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Gahanga,RW1301,
RW1302,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Gatenga,RW1302,
RW1303,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Gikondo,RW1303,
RW1304,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Kagarama,RW1304,
RW1305,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Kanombe,RW1305,
RW1306,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Kicukiro,RW1306,
RW1307,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Kigarama,RW1307,
RW1308,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Masaka,RW1308,
RW1309,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Niboye,RW1309,
RW1310,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Kicukiro,RW13,Nyarugunga,RW1310,
RW2101,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Busasamana,RW2101,
RW2102,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Busoro,RW2102,
RW2103,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Cyabakamyi,RW2103,
RW2104,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Kibilizi,RW2104,
RW2105,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Kigoma,RW2105,
RW2106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Mukingo,RW2106,
RW2107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Muyira,RW2107,
RW2108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Ntyazo,RW2108,
RW2109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Nyagisozi,RW2109,
RW2110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyanza,RW21,Rwabicuma,RW2110,
RW2201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Gikonko,RW2201,
RW2202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Gishubi,RW2202,
RW2203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Kansi,RW2203,
RW2204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Kibirizi,RW2204,
RW2205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Kigembe,RW2205,
RW2206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Mamba,RW2206,
RW2207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Muganza,RW2207,
RW2208,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Mugombwa,RW2208,
RW2209,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Mukindo,RW2209,
RW2210,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Musha,RW2210,
RW2211,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Ndora,RW2211,
RW2212,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Nyanza,RW2212,
RW2213,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Gisagara,RW22,Save,RW2213,
RW2301,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Busanze,RW2301,
RW2302,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Cyahinda,RW2302,
RW2303,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Kibeho,RW2303,
RW2304,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Kivu,RW2304,
RW2305,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Mata,RW2305,
RW2306,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Muganza,RW2306,
RW2307,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Munini,RW2307,
RW2308,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Ngera,RW2308,
RW2309,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Ngoma,RW2309,
RW2310,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Nyabimata,RW2310,
RW2311,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Nyagisozi,RW2311,
RW2312,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Ruheru,RW2312,
RW2313,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Ruramba,RW2313,
RW2314,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyaruguru,RW23,Rusenge,RW2314,
RW2401,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Gishamvu,RW2401,
RW2402,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Huye,RW2402,
RW2403,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Karama,RW2403,
RW2404,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Kigoma,RW2404,
RW2405,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Kinazi,RW2405,
RW2406,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Maraba,RW2406,
RW2407,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Mbazi,RW2407,
RW2408,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Mukura,RW2408,
RW2409,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Ngoma,RW2409,
RW2410,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Ruhashya,RW2410,
RW2411,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Rusatira,RW2411,
RW2412,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Rwaniro,RW2412,
RW2413,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Simbi,RW2413,
RW2414,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Huye,RW24,Tumba,RW2414,
RW2501,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyamagabe,RW25,Buruhukiro,RW2501,
RW2502,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyamagabe,RW25,Cyanika,RW2502,
RW2503,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyamagabe,RW25,Gasaka,RW2503,
RW2504,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyamagabe,RW25,Gatare,RW2504,
RW2505,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Nyamagabe,RW25,Kaduha,RW2505,
